bigregn_code	bigregn_name	dc_code	dc_name	regn_code	regn_name	area_code	area_name	city_code	city_name	compete_store	hig_md_low_level	store_type	flop_type_name	innovate_type_name	openbusi_dt	store_code	store_name	subregn_code	subregn_name	is_enabled	deleted	sync_time
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0102000008	广州_洪好齐	0201	广州	二级竞争店	中档店	加盟店		非创新店	2018-06-23	1556	广州市花都区天马河公馆店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0207570011	广州_刘晓梦	0202	佛山	未分类	中档店	加盟店		非创新店	2018-06-30	1557	佛山市禅城区普君华府店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500024	珠海_曾子梁	0204	中山	未分类	高档店	加盟店		非创新店	2018-06-23	1558	中山市坦洲镇水木清晖园店	F0750005	珠海_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0207570008	广州_龙梓浩	0202	佛山	未分类	中档店	加盟店		非创新店	2018-07-07	1559	佛山市顺德区保利中环店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0107630002	广州闭店	0206	肇庆	未分类	中档店	加盟店		非创新店	2018-06-13	1560	肇庆市四会市翡翠雅苑店	076400	广州闭店	0	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500012	湛江_陈义茂	0208	湛江	未分类	中档店	加盟店		非创新店	2018-06-17	1561	湛江市赤坎区金一横路店	F0750004	湛江_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500012	湛江_陈义茂	0208	湛江	未分类	中档店	加盟店		非创新店	2018-07-19	1562	湛江市霞山区海景路店	F0750004	湛江_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500021	珠海_王汉青	0205	珠海	未分类	中档店	加盟店		非创新店	2018-07-10	1563	珠海市香洲区嘉年华店	F0750005	珠海_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500024	珠海_曾子梁	0205	珠海	二级竞争店	中档店	加盟店		非创新店	2018-07-06	1564	珠海市斗门区江湾二路店	F0750005	珠海_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500022	中山_陆兴搏	0204	中山	未分类	高档店	加盟店		非创新店	2018-07-06	1565	中山市南朗镇南岐中路店	F0750005	珠海_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0202000013	广州_林宝相	0201	广州	未分类	中档店	加盟店		非创新店	2018-07-14	1566	广州市番禺区奥林匹克花园店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	02000017	广州_蔡小林	0201	广州	未分类	中档店	加盟店		非创新店	2018-07-10	1567	广州市海珠区东银广场店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0107630002	广州闭店	0201	广州	未分类	中档店	加盟店		非创新店	2018-08-24	1568	广州市番禺区洛涛南区店	076400	广州闭店	0	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500024	珠海_曾子梁	0204	中山	二级竞争店	高档店	加盟店		非创新店	2018-07-13	1569	中山市三乡镇雅居乐塞纳湖店	F0750005	珠海_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0107630002	广州闭店	0203	江门	未分类	中档店	加盟店		非创新店	2018-07-17	1570	江门市蓬江区兴华苑店	076400	广州闭店	0	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0102000003	广州_陈秋波	0202	佛山	未分类	高档店	加盟店		非创新店	2018-07-06	1571	佛山市南海区恒大御景半岛店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0207570008	广州_龙梓浩	0202	佛山	未分类	中档店	加盟店		非创新店	2018-07-03	1572	佛山市顺德区南屏路店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0102000009	广州_李华燕	0201	广州	未分类	中档店	加盟店		非创新店	2018-07-09	1573	广州市增城区誉山国际店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0102000008	广州_洪好齐	0201	广州	未分类	中档店	加盟店		非创新店	2018-08-05	1574	广州市花都区雅居乐万科热橙花园	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
